,city,max temp,Humidity,Cloudiness,Wind Speed
192,Mineral Wells,102.2,31,1,13.87
193,Lokosovo,58.15,97,94,6.85
194,Cherskiy,40.14,84,100,6.15
195,Sovetskiy,53.8,97,21,5.35
196,Turaif,82.4,21,0,10.29
197,Esperance,41.0,93,0,12.75
198,Chui,43.57,78,93,4.25
199,Isiro,65.7,98,59,0.72
200,Chupa,45.93,86,34,3.18
201,Lebu,48.27,73,2,22.19
202,Sitka,55.4,93,90,4.7
203,Ikeda,84.99,74,40,3.36
204,Atasū,63.21,48,0,8.57
205,San Cristobal,77.0,73,75,6.93
206,Ponta do Sol,73.4,56,40,19.46
207,Arrondissement de Beaune,57.2,100,37,2.24
208,Sabha,88.23,19,0,12.66
209,Biedenkopf,57.0,96,100,1.01
210,Kantunilkín,87.8,70,40,13.87
211,Corinth,77.0,42,0,1.01
212,Krasnyy Chikoy,53.73,90,100,4.32
213,San Rafael del Sur,84.2,66,75,23.04
214,San Carlos del Zulia,79.18,82,100,3.76
215,Souillac,69.8,88,40,14.99
216,Gari,55.76,98,30,7.92
217,Bathsheba,82.4,74,40,12.75
218,Guerrero Negro,80.55,62,1,13.8
219,Biloela,66.92,54,0,3.29
220,Honiara,86.0,79,20,11.41
221,Methala,78.8,94,40,1.97
222,Aksha,52.34,92,100,1.5
223,Laguna,95.0,27,1,8.05
224,Okhotsk,57.24,75,100,17.25
225,Russell,78.8,83,75,7.65
226,Talnakh,44.6,100,90,11.18
227,Chokurdakh,44.1,74,88,8.37
228,Katsuura,87.01,77,82,1.01
229,Kvarkeno,66.88,50,3,6.26
230,Masuguru,69.08,76,2,3.91
231,Kaeo,59.0,3,11,3.24
232,Matara,79.47,84,81,9.55
233,Mareeba,72.0,83,75,7.0
234,Bengkulu,75.63,84,100,3.51
235,Luanda,69.8,83,40,5.82
236,Hay River,57.2,58,40,14.99
237,Hasaki,79.0,94,75,9.17
238,Lavras da Mangabeira,87.8,29,20,5.82
239,Grootfontein,52.32,40,0,7.72
240,Rochester,71.01,43,20,8.05
241,‘Āhuimanu,89.6,61,75,17.22
242,Kruisfontein,45.0,80,18,8.28
243,Tabou,75.67,82,91,11.25
244,Hong Kong,82.0,78,57,3.0
245,Arona,73.4,56,20,10.29
246,Saint-Augustin,53.33,74,69,22.88
247,Kysyl-Syr,52.97,84,15,2.64
248,Susanville,89.01,15,1,6.93
249,Atar,91.81,17,0,8.01
250,Port Moresby,77.0,94,40,14.99
251,Traralgon,46.99,85,34,5.01
252,Luk Pu,80.01,99,8,1.23
253,Diapaga,73.9,92,87,6.96
254,Kongolo,74.86,79,75,3.62
255,Makkah al Mukarramah,88.74,27,98,4.61
256,Shingū,82.27,70,81,1.48
257,Dalby,68.0,52,0,1.01
258,Vilyuysk,53.64,86,13,2.28
259,São João da Barra,77.0,73,0,13.87
260,Humaitá,81.61,56,69,1.81
261,Waitara,51.01,85,47,3.0
262,Omsukchan,47.08,61,1,2.66
263,Paita,63.88,79,18,16.33
264,Qaqortoq,51.8,53,100,5.82
265,Ancud,48.99,84,90,1.99
266,Heyang,67.42,89,1,2.3
267,Port Lincoln,52.77,59,95,4.23
268,Khudumelapye,44.96,48,0,7.92
269,Kargasok,54.61,94,94,7.0
270,Uchiza,77.4,65,93,1.45
271,Taoudenni,94.41,37,11,11.43
272,Geraldton,44.6,93,0,10.29
273,Klaksvík,50.0,100,94,8.05
274,Cururupu,76.57,84,33,4.97
275,Mugumu,66.02,63,43,3.67
276,Morgan City,84.99,83,1,9.17
277,Dalbandin,80.33,15,47,6.22
278,Pacific Grove,75.0,56,1,9.17
279,Lompoc,70.0,64,1,12.75
280,Nishihara,84.2,83,75,16.11
281,Banda Aceh,79.81,78,73,8.95
282,Lyndon,79.0,61,40,4.7
283,Şabyā,89.6,70,46,3.31
284,Belle Fourche,66.0,42,48,16.11
285,Octeville,59.0,82,90,3.36
286,Boueni,71.6,83,12,2.24
287,Lakes Entrance,51.01,71,11,1.99
288,Mahébourg,69.8,88,40,14.99
289,Longonjo,61.11,50,55,0.58
290,Teya,48.33,89,56,2.37
291,Road Town,84.99,85,36,8.01
292,Correntina,74.84,38,20,3.49
293,Biltine,78.93,64,85,6.6
294,Mayo,81.0,51,20,4.7
295,Broken Hill,44.6,87,0,12.75
296,Vestmannaeyjar,52.05,93,100,34.92
297,Polson,75.99,20,3,1.01
298,Maumere,78.21,65,1,5.21
299,Forsytheganj,68.43,71,1,9.71
300,Namatanai,83.23,75,45,9.26
301,Puerto Madryn,45.23,60,22,19.35
302,Zaraza,75.6,91,100,1.57
303,Burgeo,61.59,95,88,8.72
304,Fortuna,70.0,48,20,14.99
305,Helong,65.39,87,100,3.06
306,Zambezi,66.11,83,97,1.77
307,Malé,82.4,78,75,5.82
308,Jiwani,80.87,88,3,10.2
309,Manono,74.43,74,86,1.81
310,Hambantota,77.0,100,40,3.36
311,Sorong,78.67,86,15,6.49
312,Olafsvik,52.5,91,100,27.96
313,Mount Gambier,44.6,87,90,6.93
314,Ahipara,60.21,65,1,4.94
315,Clearwater,78.8,100,90,6.93
316,Kamakwie,73.13,97,100,4.27
317,Hualmay,62.15,81,27,11.54
318,Springfield,77.0,83,90,3.36
319,Ilulissat,41.32,68,0,5.55
320,Bangil,75.61,72,83,1.77
321,Koungou,71.6,83,4,2.24
322,Bukachacha,51.15,92,100,2.55
323,Arlit,88.12,41,97,3.09
324,Balikpapan,77.0,100,75,6.93
325,Canguçu,46.0,87,70,4.56
326,Lazarev,59.7,74,30,19.55
327,Hauterive,57.2,93,75,3.36
328,Ciudad Bolivar,81.14,78,86,6.31
329,Burgos,44.6,93,1,5.82
330,Umm Kaddadah,81.45,53,100,11.7
331,Ananas,75.67,87,7,7.74
332,Upata,75.94,89,100,2.39
333,Xichang,65.66,83,100,2.13
334,Kautokeino,37.13,80,79,6.71
335,Storforshei,36.0,92,34,1.01
336,Bo Phloi,78.17,85,98,1.19
337,Porto Santo,71.6,56,75,12.75
338,St. George's,82.4,88,75,3.74
339,Pattan,61.63,72,0,0.92
340,Xining,47.84,82,43,1.99
341,Caravelas,71.31,90,0,5.23
342,Tecpan,80.6,39,20,9.17
343,Niquero,83.93,78,39,4.9
344,Kalabo,69.46,61,95,4.14
345,Hofn,51.73,88,97,17.54
346,Bilibino,43.95,65,100,5.06
347,Vuktyl,53.29,95,98,11.79
348,Barra Patuca,83.3,75,0,10.33
349,Pacatuba,79.0,78,0,14.99
350,Sinnamary,80.74,81,68,14.61
351,Pathein,78.37,92,100,4.92
352,Dwārka,81.28,83,100,18.88
353,Miles City,62.6,39,1,8.05
354,São Gabriel da Cachoeira,76.33,81,100,2.04
355,Assiut,84.2,28,0,11.41
356,Venado Tuerto,52.0,48,3,1.99
357,Ngunguru,59.0,3,39,6.87
358,Fendou,65.53,87,100,13.82
359,Saint-François,57.2,87,71,1.12
360,Gomel,73.4,64,0,11.18
361,Clyde River,46.4,93,1,13.87
362,Kumul,66.4,26,0,9.53
363,Lakselv,32.0,79,79,8.05
364,La Ronge,48.2,87,90,9.17
365,Longview,91.4,55,20,10.29
366,Campbell River,57.2,82,90,3.36
367,Blackwater,67.33,57,0,5.14
368,Ljungby,51.8,100,0,4.7
369,Basco,83.98,80,36,16.44
370,Tura,74.82,92,100,4.52
371,Tocopilla,59.65,71,100,7.38
372,Mombetsu,54.81,80,100,13.56
373,Tomisato,79.0,94,75,9.17
374,Fuxin,72.41,72,0,4.85
375,Jennings,82.4,48,75,9.17
376,Mabaruma,77.02,95,99,3.53
377,Granadilla de Abona,73.4,56,20,10.29
378,Sulangan,83.97,74,74,9.15
379,Raton,80.6,21,90,18.34
380,Ugoofaaru,82.42,72,19,8.46
381,Rafai,69.89,91,100,1.34
382,Irbit,58.96,95,60,6.4
383,Lata,62.01,72,0,2.73
384,Yamada,69.58,91,100,9.17
385,Baghdad,89.6,29,0,6.93
386,Mildura,43.0,93,0,6.93
387,Amahai,84.0,92,63,1.01
388,Bayburt,59.58,45,0,0.34
389,Florø,51.8,66,0,10.29
390,Nouakchott,84.2,66,32,11.41
391,Arrondissement d'Arcachon,57.2,82,75,2.73
392,Tsnori,73.4,64,20,9.17
393,Adrar,91.06,14,77,13.24
394,Kluczbork,64.0,87,44,8.81
395,Grand Gaube,71.01,76,3,10.0
396,Stráž pod Ralskem,60.01,10,81,6.24
397,Bandarbeyla,76.87,77,100,23.67
398,Robertsport,76.46,85,100,14.29
399,Krasnosel'kup,44.49,95,62,5.23
400,Nizhniy Odes,50.0,96,100,8.14
401,Chicama,64.69,72,22,8.28
402,Askino,55.38,94,99,5.48
403,Mossamedes,61.93,71,21,6.82
404,Dodge City,91.99,38,1,12.75
405,Lorengau,82.69,82,6,11.99
406,Rādhanpur,77.65,92,100,11.61
407,Makakilo City,89.6,43,20,10.29
408,Opuwo,50.32,46,0,1.57
409,Pisco,64.4,72,77,10.29
410,Cap Malheureux,71.01,76,2,10.0
411,Maïné Soroa,82.94,59,9,5.55
412,Ostrovnoy,44.65,86,23,7.92
413,Stann Creek Town,89.6,62,20,6.93
414,Phang Nga,77.0,94,75,3.36
415,Charters Towers,67.51,66,1,10.18
416,Luganville,78.8,88,75,6.93
417,Isangel,71.6,83,90,8.05
418,Marawi,75.0,83,100,7.0
419,Xinan,79.03,82,1,5.97
420,Eureka,77.0,57,0,8.01
421,Shache,59.07,42,56,4.47
422,Srikakulam,80.58,86,97,5.08
423,Kyshtovka,56.07,91,53,6.96
424,Evensk,54.43,50,2,3.31
425,Lithgow,48.99,77,31,1.99
426,Vallenar,61.75,45,99,4.36
427,Hearst,59.95,49,0,2.66
428,Bima,74.59,82,47,4.47
429,Labuan,80.6,88,40,2.24
430,Tazovsky,40.03,91,1,3.83
431,Faya,71.6,22,52,4.07
432,Colesberg,33.31,82,0,9.89
433,Puno,47.86,62,5,17.74
434,Dolores,43.93,62,0,7.58
435,Bignona,77.0,94,40,4.7
436,Tuktoyaktuk,44.6,81,90,13.87
437,Tessalit,86.67,51,1,7.34
438,Mizusawa,69.04,93,100,2.42
439,Puerto Colombia,87.8,70,40,4.7
440,Omboué,74.16,84,100,9.57
441,Puerto del Rosario,73.4,73,6,16.11
442,Aykhal,46.4,75,90,4.47
443,Osakarovka,60.82,56,0,3.0
444,Cidreira,56.01,89,100,10.07
445,Oriximiná,82.22,63,18,2.98
446,Brae,46.4,87,98,5.82
447,Yulara,53.6,58,0,6.93
448,Basoko,71.67,93,77,0.76
449,Liverpool,51.8,71,17,4.7
450,Plouzané,53.6,93,74,5.82
451,Xuanzhou,78.33,92,36,1.19
452,Turinsk,58.73,95,43,6.53
453,Oranjemund,50.5,57,18,15.28
454,Williston,70.0,29,96,8.01
455,Gijang,78.8,78,75,9.17
456,Buraidah,89.6,19,0,9.17
457,Sarkand,62.33,37,0,4.38
458,Mehamn,44.6,75,40,6.93
459,Dunedin,61.0,38,100,1.01
460,Deputatsky,36.23,90,76,4.59
461,Duku,72.68,93,98,2.73
462,Turgutlu,73.4,88,0,4.7
463,Tilichiki,51.28,68,98,18.07
464,Kismayo,77.22,82,4,15.28
465,Doha,93.99,75,23,4.7
466,Harbour Breton,66.0,100,98,3.0
467,Coahuayana Viejo,71.6,83,90,9.17
468,Ketchikan,55.4,100,90,18.34
469,Hervey Bay,72.0,82,13,5.82
470,Salalah,77.0,94,90,2.24
471,Epe,75.13,89,100,5.68
472,Guánica,86.0,70,69,3.0
473,Troitskoye,55.38,74,53,3.44
474,Te Anau,54.55,64,19,16.46
475,Yangi Marg`ilon,71.6,49,0,6.93
476,Port Macquarie,64.0,63,0,3.0
477,Choix,90.07,61,60,4.41
478,Bom Jesus da Lapa,83.19,39,65,12.84
479,Juazeiro,86.0,35,22,8.05
480,Garoowe,78.69,60,86,23.64
481,Bodden Town,90.0,79,40,2.24
482,Doaba,74.88,72,17,3.24
483,Panguna,82.04,64,42,3.76
484,Alice Springs,55.4,47,0,3.36
485,Mangai,73.42,87,84,1.5
486,Nazarovo,48.85,95,7,2.73
487,Narsaq,51.8,53,100,5.82
488,Gorontalo,78.62,79,86,3.27
489,Nizhnevartovsk,59.0,93,82,4.47
490,Rawson,44.74,60,9,18.07
491,Zhigansk,48.61,93,100,8.25
492,Edson,60.8,41,20,16.11
493,Salé,69.01,93,0,3.36
494,Yar-Sale,39.4,91,88,10.71
495,Asău,64.99,79,0,5.28
496,Ayan,53.96,60,100,3.02
497,Linxia Chengguanzhen,49.23,79,0,2.62
498,Nabire,79.47,76,82,1.92
499,Buta,69.8,96,97,0.96
500,Kieta,85.91,66,52,7.23
501,Quatre Cocos,71.01,88,40,14.99
502,Tomari,57.15,67,9,5.46
503,Cabo San Lucas,91.4,74,20,12.75
504,Tayu,75.29,78,84,8.32
505,Bereznehuvate,66.45,46,0,2.84
506,Vila Velha,78.01,88,20,10.29
507,Sørland,47.73,63,96,9.71
508,Idrinskoye,50.76,90,69,0.76
509,Villarrica,66.45,78,95,9.28
510,Samarai,79.11,87,66,19.98
511,Mabay,81.1,68,89,3.22
512,Tomatlán,77.41,95,96,5.91
513,Kirakira,84.7,71,100,12.15
514,Vostok,52.72,70,97,4.09
515,Vila Franca do Campo,75.2,83,20,2.98
516,Ucluelet,57.99,87,90,4.7
517,Somanda,64.22,84,14,2.3
518,Latung,83.3,74,99,7.31
519,Jinchang,62.94,52,40,5.23
520,Prozor,71.01,88,87,2.24
521,Flagstaff,77.0,33,20,12.75
522,Huarmey,63.63,77,2,10.47
523,Hinche,87.8,70,75,8.05
524,Khanbari,72.36,74,70,1.97
525,Monduli,56.43,82,0,4.09
526,Jalu,82.08,37,0,8.32
527,Naze,84.2,83,75,16.11
528,Punta Alta,49.32,53,0,8.23
529,Avera,91.4,59,1,5.82
530,Xixiang,73.0,99,14,5.61
531,Marsh Harbour,84.87,72,100,8.5
532,Srednekolymsk,48.69,61,8,9.4
533,Salamiyah,76.91,29,0,4.88
534,Kabalo,74.89,74,96,3.76
535,Coyhaique,44.6,65,20,4.7
536,Niterói,82.4,54,0,8.05
537,Maniwaki,58.84,69,77,4.54
538,Pangody,40.86,88,51,9.69
539,Los Llanos de Aridane,73.4,64,90,18.34
540,Mporokoso,62.8,48,0,2.3
541,Malanje,68.49,64,51,0.72
542,Dubai,93.99,32,27,3.36
543,Comodoro Rivadavia,46.4,65,75,5.82
544,Hailey,75.2,19,5,14.99
545,Kloulklubed,75.2,94,75,6.71
546,Tūkrah,75.47,77,0,11.81
547,Pokhara,70.18,80,42,2.28
548,Quryq,72.46,67,26,10.36
549,Bitung,75.2,94,20,10.78
550,Moranbah,67.89,54,0,13.42
551,Barreirinhas,80.04,74,4,13.04
552,Port-Cartier,52.0,76,90,8.05
553,Kaka,72.59,36,30,6.06
554,Alofi,80.6,65,75,13.87
555,Oranjestad,86.0,70,20,11.41
556,Henties Bay,53.01,80,0,5.84
557,Bambuí,71.58,42,52,2.46
558,Soyo,71.37,84,8,7.85
559,Raudeberg,51.01,79,0,13.02
560,High Level,60.8,48,20,11.41
